wflName nbPart c CM m TM ModelTM
depl-Csnpml-5.xml 50000000 9000 19705 1098 20803 20810
depl-Csnpml-5.xml 50000000 10800 22469 158 22627 19802
depl-kR7SpH-1.xml 50000000 1200 13965 13060 27025 24731
depl-kR7SpH-1.xml 50000000 1500 13393 9360 22753 21223
depl-kR7SpH-1.xml 50000000 1800 13495 6357 19852 18317
depl-kR7SpH-1.xml 50000000 2100 13243 4761 18004 16884
depl-kR7SpH-1.xml 50000000 2400 13393 2782 16175 15050
depl-kR7SpH-1.xml 50000000 2700 13757 2526 16283 14931
depl-kR7SpH-1.xml 50000000 3600 14569 1132 15701 13686
depl-kR7SpH-1.xml 50000000 4500 14001 1312 15313 14105
depl-kR7SpH-1.xml 50000000 5400 14553 381 14934 14092
depl-kR7SpH-1.xml 50000000 6300 14759 403 15162 15010
depl-kR7SpH-1.xml 50000000 7200 15610 1250 16860 16540
depl-kR7SpH-1.xml 50000000 9000 18281 1272 19553 17161
depl-kR7SpH-1.xml 50000000 10800 21665 390 22055 17896
depl-kR7SpH-2.xml 50000000 1200 13775 13254 27029 24796
depl-kR7SpH-2.xml 50000000 1500 13113 9498 22611 21151
depl-kR7SpH-2.xml 50000000 1800 13338 6257 19595 18090
depl-kR7SpH-2.xml 50000000 2100 13150 4839 17989 16854
depl-kR7SpH-2.xml 50000000 2700 13619 2092 15711 14380
depl-kR7SpH-2.xml 50000000 3600 13674 323 13997 13022
depl-kR7SpH-2.xml 50000000 4500 13945 1521 15466 14156
depl-kR7SpH-2.xml 50000000 5400 14441 109 14550 13616
depl-kR7SpH-2.xml 50000000 6300 14641 539 15180 14977
depl-kR7SpH-2.xml 50000000 7200 15422 799 16221 15790
depl-kR7SpH-2.xml 50000000 9000 18252 1192 19444 16972
depl-kR7SpH-2.xml 50000000 10800 14787 156 14943 17583
depl-kR7SpH-4.xml 50000000 1200 13632 13275 26907 24778
depl-kR7SpH-4.xml 50000000 1500 13045 9384 22429 21004
depl-kR7SpH-4.xml 50000000 1800 13301 6479 19780 18278
depl-kR7SpH-4.xml 50000000 2100 13122 4899 18021 16886
depl-kR7SpH-4.xml 50000000 2700 13609 962 14571 13214
depl-kR7SpH-4.xml 50000000 3600 13673 343 14016 13004
depl-kR7SpH-4.xml 50000000 4500 13935 1199 15134 13798
depl-kR7SpH-4.xml 50000000 5400 14346 69 14415 13533
depl-kR7SpH-4.xml 50000000 6300 14646 457 15103 14895
depl-kR7SpH-4.xml 50000000 7200 15303 963 16266 15793
depl-kR7SpH-4.xml 50000000 9000 18244 1498 19742 17251
depl-kR7SpH-4.xml 50000000 10800 14787 141 14928 17563
depl-kR7SpH-5.xml 50000000 1200 14253 15173 29426 27087
depl-kR7SpH-5.xml 50000000 1500 13665 11015 24680 23117
depl-kR7SpH-5.xml 50000000 1800 13573 7741 21314 19822
depl-kR7SpH-5.xml 50000000 2100 13361 5930 19291 18166
depl-kR7SpH-5.xml 50000000 2700 13858 2983 16841 15504
depl-kR7SpH-5.xml 50000000 3600 14593 1488 16081 14449
depl-kR7SpH-5.xml 50000000 4500 14157 1405 15562 14562
depl-kR7SpH-5.xml 50000000 5400 14673 409 15082 14353
depl-kR7SpH-5.xml 50000000 6300 14916 740 15656 15500
depl-kR7SpH-5.xml 50000000 7200 15738 862 16600 16351
depl-kR7SpH-5.xml 50000000 9000 18306 1350 19656 17319
depl-kR7SpH-5.xml 50000000 10800 21701 652 22353 18264
depl-kR7SpH-6.xml 50000000 1200 14805 13617 28422 25961
depl-kR7SpH-6.xml 50000000 1500 14175 9672 23847 22166
depl-kR7SpH-6.xml 50000000 1800 14092 6641 20733 19193
depl-kR7SpH-6.xml 50000000 2100 13907 4854 18761 17594
depl-kR7SpH-6.xml 50000000 2400 14474 2804 17278 15712
depl-kR7SpH-6.xml 50000000 2700 14064 3045 17109 15755
depl-kR7SpH-6.xml 50000000 3600 14823 1634 16457 14916
depl-kR7SpH-6.xml 50000000 4500 14948 942 15890 14851
depl-kR7SpH-6.xml 50000000 5400 16375 1309 17684 15544
depl-kR7SpH-6.xml 50000000 6300 15221 503 15724 15535
depl-kR7SpH-6.xml 50000000 7200 16143 339 16482 16322
depl-kR7SpH-6.xml 50000000 9000 18340 1151 19491 17425
depl-kR7SpH-6.xml 50000000 10800 21752 1028 22780 18983
depl-OOGV0x-1.xml 50000000 1200 17912 12639 30551 28884
depl-OOGV0x-1.xml 50000000 1500 17622 7964 25586 24314
depl-OOGV0x-1.xml 50000000 1800 17795 4746 22541 21211
depl-OOGV0x-1.xml 50000000 2100 17819 2777 20596 19426
depl-OOGV0x-1.xml 50000000 2400 17792 2680 20472 19372
depl-OOGV0x-1.xml 50000000 2700 17703 648 18351 17541
depl-OOGV0x-1.xml 50000000 3600 17908 730 18638 18008
depl-OOGV0x-1.xml 50000000 4500 19262 728 19990 18532
depl-OOGV0x-1.xml 50000000 5400 19147 754 19901 19475
depl-OOGV0x-1.xml 50000000 6300 20577 310 20887 19614
depl-OOGV0x-1.xml 50000000 7200 18165 219 18384 19792
depl-OOGV0x-1.xml 50000000 9000 20852 757 21609 22715
depl-OOGV0x-1.xml 50000000 10800 23847 194 24041 23169
depl-OOGV0x-2.xml 50000000 1200 17917 10809 28726 27222
depl-OOGV0x-2.xml 50000000 1500 17644 6520 24164 22999
depl-OOGV0x-2.xml 50000000 1800 17812 3566 21378 20203
depl-OOGV0x-2.xml 50000000 2100 17875 2437 20312 19251
depl-OOGV0x-2.xml 50000000 2400 17784 1735 19519 18569
depl-OOGV0x-2.xml 50000000 2700 17946 400 18346 17580
depl-OOGV0x-2.xml 50000000 3600 17976 211 18187 17615
depl-OOGV0x-2.xml 50000000 4500 19349 740 20089 18796
depl-OOGV0x-2.xml 50000000 5400 19175 592 19767 19522
depl-OOGV0x-2.xml 50000000 6300 20613 292 20905 19795
depl-OOGV0x-2.xml 50000000 7200 18217 107 18324 19757
depl-OOGV0x-2.xml 50000000 9000 20853 664 21517 22736
depl-OOGV0x-2.xml 50000000 10800 23858 73 23931 23086
depl-OOGV0x-3.xml 50000000 1200 18466 9663 28129 26521
depl-OOGV0x-3.xml 50000000 1500 18390 5586 23976 22680
depl-OOGV0x-3.xml 50000000 1800 18292 2878 21170 20127
